id,geo_point_2d,code_com,xlong,ylat,capacite,capacite_cargo,mobilier,protection,couverture,acces,surveillance,lumiere,url_info,d_service,source,proprietaire,gestionnaire,date_maj,commentaires,nom_local,commune_local,adresse_local,type,code,epci,lon,lat
92,"45.233586241344106,5.808978852758637",38045.0,5.808978852758637,45.233586241344106,5,0,RATELIER AVEC ARCEAUX,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-05-18,SMMAG,SMMAG,Mvélo+,2021-06-14,minibox,CLAVERINS,BIVIERS,Rue de Gal de Gaulle,stationnementcyclable,78,LeGresivaudan,5.80898,45.23359
93,"45.22072716568881,5.659998906097342",38474.0,5.659998906097342,45.22072716568881,5,0,RATELIER AVEC ARCEAUX,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2022-03-01,SMMAG,SMMAG,Mvélo+,2022-03-01,minibox,ENGENIERES,SASSENAGE,Avenue de Valence,stationnementcyclable,79,LaMetro,5.66,45.22073
94,"45.393571940252464,6.071601007762681",38006.0,6.071601007762681,45.393571940252464,5,0,RATELIER AVEC ARCEAUX,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-05-18,SMMAG,SMMAG,Mvélo+,2021-06-14,minibox,JULES FERRY,ALLEVARD,Boulevard Jules Ferry,stationnementcyclable,80,LeGresivaudan,6.0716,45.39357
95,"45.28440987454651,5.883104783675948",38140.0,5.883104783675948,45.28440987454651,5,0,RATELIER AVEC ARCEAUX,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-05-18,SMMAG,SMMAG,Mvélo+,2021-06-14,minibox,MAIRIE,CROLLES,Avenue de la Résistance,stationnementcyclable,81,LeGresivaudan,5.8831,45.28441
96,"45.27167702325004,5.888653887769594",38140.0,5.888653887769594,45.27167702325004,5,0,RATELIER AVEC ARCEAUX,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-05-18,SMMAG,SMMAG,Mvélo+,2021-06-14,minibox,AMBROISE CROISAT,CROLLES,Avenue Amrboise Croizat,stationnementcyclable,82,LeGresivaudan,5.88865,45.27168
97,"45.27731303898745,5.873068576578054",38140.0,5.873068576578054,45.27731303898745,5,0,RATELIER AVEC ARCEAUX,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-05-18,SMMAG,SMMAG,Mvélo+,2021-06-14,minibox,CROIX DES AYES,CROLLES,Avenue Joliot-Curie,stationnementcyclable,83,LeGresivaudan,5.87307,45.27731
98,"45.24583495647245,5.830686835096775",38397.0,5.830686835096775,45.24583495647245,5,0,RATELIER AVEC ARCEAUX,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-05-18,SMMAG,SMMAG,Mvélo+,2021-06-14,minibox,PINS,SAINT ISMIER,Carrefour des Pins,stationnementcyclable,84,LeGresivaudan,5.83069,45.24583
99,"45.14361589392651,5.829559033367688",38422.0,5.829559033367688,45.14361589392651,5,0,RATELIER AVEC ARCEAUX,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-05-18,SMMAG,SMMAG,Mvélo+,2021-06-14,minibox,OFFICE DE TOURISME,SAINT MARTIN D'URIAGE,Route de Gières,stationnementcyclable,85,LeGresivaudan,5.82956,45.14362
100,"45.18931832130059,5.729710973418712",38185.0,5.729710973418712,45.18931832130059,5,0,RATELIER AVEC ARCEAUX,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-06-04,SMMAG,SMMAG,Mvélo+,2021-08-04,minibox,ACHARD,GRENOBLE,Place Jean Achard,stationnementcyclable,86,LaMetro,5.72971,45.18932
101,"45.185619181846974,5.709283758905001",38185.0,5.709283758905001,45.185619181846974,5,0,RATELIER AVEC ARCEAUX,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-06-04,SMMAG,SMMAG,Mvélo+,2021-08-04,minibox,MOZART,GRENOBLE,6 rue Mozart,stationnementcyclable,87,LaMetro,5.70928,45.18562
102,"45.132142106650114,5.6984381724744315",,5.698438172474432,45.132142106650114,5,0,RATELIER AVEC ARCEAUX,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-06-04,SMMAG,SMMAG,Mvélo+,2021-08-04,minibox,STENDHAL,LE PONT-DE-CLAIX,2 ure Stendhal,stationnementcyclable,88,LaMetro,5.69844,45.13214
103,"45.18529397136584,5.716509118828172",38185.0,5.716509118828172,45.18529397136584,5,0,RATELIER AVEC ARCEAUX,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-06-04,SMMAG,SMMAG,Mvélo+,2021-08-04,minibox,CLEMENT,GRENOBLE,3 bis rue Clément,stationnementcyclable,89,LaMetro,5.71651,45.18529
